iter	Passed	Remaining
0	21	1682
1	54	2123
2	98	2524
3	170	3235
4	222	3330
5	271	3352
6	324	3384
7	392	3530
8	447	3529
9	496	3473
10	558	3505
11	610	3459
12	657	3386
13	709	3344
14	759	3291
15	811	3247
16	866	3209
17	918	3162
18	984	3162
19	1061	3183
20	1116	3138
21	1166	3075
22	1223	3031
23	1258	2937
24	1316	2896
25	1378	2862
26	1427	2802
27	1480	2749
28	1537	2703
29	1591	2653
30	1629	2575
31	1686	2529
32	1736	2472
33	1786	2416
34	1848	2376
35	1902	2325
36	1948	2264
37	1995	2205
38	2048	2153
39	2098	2098
40	2148	2043
41	2198	1989
42	2256	1941
43	2303	1884
44	2349	1827
45	2401	1774
46	2454	1723
47	2498	1665
48	2549	1613
49	2603	1562
50	2643	1503
51	2706	1457
52	2755	1403
53	2801	1348
54	2851	1295
55	2895	1240
56	2950	1190
57	2990	1134
58	3045	1083
59	3098	1032
60	3143	979
61	3189	926
62	3254	878
63	3304	826
64	3354	774
65	3411	723
66	3452	669
67	3503	618
68	3549	565
69	3597	513
70	3640	461
71	3687	409
72	3747	359
73	3795	307
74	3841	256
75	3900	205
76	3949	153
77	3986	102
78	4045	51
79	4089	0
