iter	Logloss
0	0.3057925864
1	0.2354518245
2	0.2058836534
3	0.1914296041
4	0.1834152346
5	0.1813239656
6	0.1788430451
7	0.1762287988
8	0.1750488133
9	0.1734661793
10	0.1727302339
11	0.1720460072
12	0.1712992625
13	0.1706307023
14	0.1700676289
15	0.1697449121
16	0.1693615861
17	0.1690885113
18	0.1687687987
19	0.1680860104
20	0.1676167027
21	0.1671793429
22	0.1663810277
23	0.1658657507
24	0.1649215569
25	0.1640649579
26	0.1639611584
27	0.1637529184
28	0.1634538212
29	0.1627652368
30	0.1622844033
31	0.1618356718
32	0.1613598914
33	0.1604290846
34	0.1597270617
35	0.1590445931
36	0.158765197
37	0.1583547764
38	0.1576763011
39	0.1575613829
40	0.1571310022
41	0.1565411979
42	0.1559793791
43	0.1548922889
44	0.1545546338
45	0.1540412566
46	0.1538917601
47	0.1535670326
48	0.1531116533
49	0.1527844285
50	0.1526728341
51	0.1521519066
52	0.151830626
53	0.1516516113
54	0.1513420774
55	0.1511169951
56	0.1504646233
57	0.1500211749
58	0.1498850835
59	0.1490800824
60	0.1489543321
61	0.1487091181
62	0.1482683018
63	0.1476682584
64	0.1476387219
65	0.1474522645
66	0.1470517823
67	0.1466204098
68	0.1457502461
69	0.1452747036
70	0.1449577584
71	0.1446325486
72	0.1440805328
73	0.1434595114
74	0.1433511214
75	0.1430460164
76	0.1427681472
77	0.1422731893
78	0.1418882052
79	0.1414564199
