iter	Passed	Remaining
0	16	1300
1	85	3320
2	126	3240
3	221	4215
4	269	4049
5	317	3921
6	363	3787
7	412	3716
8	466	3681
9	516	3615
10	573	3595
11	628	3559
12	678	3494
13	729	3440
14	797	3454
15	857	3428
16	921	3413
17	973	3352
18	1016	3264
19	1061	3185
20	1119	3145
21	1158	3053
22	1215	3012
23	1266	2955
24	1312	2886
25	1360	2824
26	1407	2762
27	1460	2712
28	1506	2648
29	1554	2590
30	1605	2537
31	1648	2472
32	1696	2416
33	1741	2356
34	1801	2315
35	1848	2259
36	1892	2199
37	1949	2154
38	1988	2090
39	2036	2036
40	2092	1990
41	2140	1936
42	2185	1880
43	2232	1826
44	2285	1777
45	2326	1719
46	2380	1671
47	2424	1616
48	2486	1572
49	2525	1515
50	2585	1470
51	2631	1417
52	2678	1364
53	2720	1309
54	2766	1257
55	2816	1207
56	2868	1157
57	2920	1107
58	2964	1055
59	3012	1004
60	3056	952
61	3119	905
62	3177	857
63	3237	809
64	3299	761
65	3353	711
66	3425	664
67	3480	614
68	3536	563
69	3602	514
70	3668	465
71	3720	413
72	3779	362
73	3830	310
74	3881	258
75	3950	207
76	4009	156
77	4066	104
78	4128	52
79	4175	0
