iter	Logloss
0	0.3058190926
1	0.2356207498
2	0.2048452147
3	0.1930735989
4	0.1878414409
5	0.1851507435
6	0.1828183828
7	0.1796899183
8	0.1774859176
9	0.176760375
10	0.1758669826
11	0.1749985771
12	0.1743037264
13	0.1742783524
14	0.1733381088
15	0.1729297054
16	0.1721081213
17	0.1717837379
18	0.1717836817
19	0.1715659978
20	0.1712233714
21	0.1704312533
22	0.169594564
23	0.1695177487
24	0.169169128
25	0.1684941879
26	0.1681385542
27	0.1677783678
28	0.1672879725
29	0.166575925
30	0.1657734128
31	0.1653414132
32	0.1648824829
33	0.164178639
34	0.1641612309
35	0.1635307724
36	0.1627783476
37	0.1619240509
38	0.1608896252
39	0.1605576039
40	0.1602739751
41	0.15917163
42	0.1581642006
43	0.1576228945
44	0.1572558549
45	0.1568166508
46	0.1563600429
47	0.1556180543
48	0.1551245867
49	0.1550342612
50	0.1546181956
51	0.154398535
52	0.1541025018
53	0.1536286217
54	0.1533170767
55	0.1530747282
56	0.15280801
57	0.1525541893
58	0.1519930337
59	0.15147743
60	0.1506618369
61	0.1504374997
62	0.1500387481
63	0.1497731602
64	0.1493911967
65	0.1491922194
66	0.1486405246
67	0.1480662736
68	0.1478928788
69	0.1470951241
70	0.1469262093
71	0.1467835806
72	0.1465103309
73	0.1461586637
74	0.1457623497
75	0.145541486
76	0.145189445
77	0.1448748919
78	0.1442946227
79	0.1439419514
