iter	Passed	Remaining
0	19	1570
1	54	2142
2	78	2012
3	126	2403
4	182	2737
5	227	2800
6	270	2824
7	318	2867
8	362	2861
9	416	2918
10	463	2906
11	512	2906
12	574	2960
13	602	2842
14	654	2834
15	703	2813
16	758	2810
17	818	2819
18	832	2674
19	878	2635
20	931	2615
21	980	2583
22	1031	2556
23	1089	2543
24	1133	2494
25	1185	2462
26	1233	2420
27	1294	2404
28	1341	2359
29	1407	2346
30	1457	2304
31	1516	2275
32	1562	2224
33	1624	2197
34	1662	2138
35	1721	2103
36	1769	2055
37	1819	2011
38	1864	1959
39	1911	1911
40	1971	1874
41	2032	1839
42	2097	1805
43	2152	1761
44	2211	1719
45	2259	1669
46	2306	1619
47	2352	1568
48	2399	1518
49	2453	1471
50	2494	1418
51	2549	1372
52	2596	1322
53	2658	1279
54	2697	1226
55	2751	1179
56	2799	1129
57	2845	1079
58	2894	1030
59	2938	979
60	2980	928
61	3029	879
62	3079	830
63	3135	783
64	3182	734
65	3227	684
66	3273	635
67	3318	585
68	3365	536
69	3421	488
70	3472	440
71	3521	391
72	3577	343
73	3632	294
74	3683	245
75	3727	196
76	3776	147
77	3828	98
78	3865	48
79	3921	0
