iter	Logloss
0	0.3057952641
1	0.2349599716
2	0.1990822665
3	0.1893639023
4	0.1848081883
5	0.1803327747
6	0.1776581093
7	0.1760788626
8	0.1743430975
9	0.1727717778
10	0.1721734618
11	0.1720399976
12	0.1701765885
13	0.1698521325
14	0.1694631521
15	0.1691676316
16	0.1691001614
17	0.168967651
18	0.1682582429
19	0.1673536136
20	0.1668196487
21	0.1659392619
22	0.16552798
23	0.1645130879
24	0.1643873316
25	0.1637386372
26	0.1623946057
27	0.1617834045
28	0.160783225
29	0.1606926489
30	0.1604887858
31	0.1601300666
32	0.1595531594
33	0.1593724308
34	0.1592144229
35	0.1589678891
36	0.158667424
37	0.1579625411
38	0.1573991907
39	0.1568335303
40	0.1567046352
41	0.1565131104
42	0.1559560122
43	0.1558383677
44	0.1556668432
45	0.1555722798
46	0.155042118
47	0.154563552
48	0.1541711524
49	0.1539940576
50	0.153550221
51	0.1534820733
52	0.1521512448
53	0.1514368545
54	0.1507921699
55	0.1501966157
56	0.1496784603
57	0.1491162326
58	0.1484369728
59	0.1477627878
60	0.1472437259
61	0.146746062
62	0.1464693922
63	0.1460741054
64	0.1455725457
65	0.1452492766
66	0.1448567462
67	0.1441402011
68	0.1437973769
69	0.1434656098
70	0.1425611601
71	0.1420683458
72	0.1415938111
73	0.1412292348
74	0.1410408098
75	0.1404350103
76	0.1400936964
77	0.1396521579
78	0.1395462553
79	0.1395252419
