iter	Passed	Remaining
0	16	1342
1	49	1943
2	98	2529
3	163	3105
4	202	3037
5	256	3158
6	301	3141
7	347	3130
8	401	3164
9	442	3096
10	493	3098
11	531	3013
12	584	3010
13	645	3041
14	705	3057
15	758	3035
16	803	2979
17	858	2958
18	924	2969
19	1000	3001
20	1058	2974
21	1121	2956
22	1182	2929
23	1232	2875
24	1293	2845
25	1342	2787
26	1392	2732
27	1446	2687
28	1493	2627
29	1534	2557
30	1602	2533
31	1673	2510
32	1740	2479
33	1795	2428
34	1846	2373
35	1898	2320
36	1964	2283
37	2028	2242
38	2069	2175
39	2124	2124
40	2180	2074
41	2230	2018
42	2290	1970
43	2359	1930
44	2417	1880
45	2467	1823
46	2522	1771
47	2567	1711
48	2619	1657
49	2679	1607
50	2747	1562
51	2819	1518
52	2890	1472
53	2943	1417
54	3010	1368
55	3072	1316
56	3124	1260
57	3174	1204
58	3246	1155
59	3304	1101
60	3375	1051
61	3442	999
62	3502	945
63	3574	893
64	3636	839
65	3707	786
66	3772	732
67	3829	675
68	3898	621
69	3958	565
70	4017	509
71	4079	453
72	4146	397
73	4204	340
74	4263	284
75	4305	226
76	4362	169
77	4409	113
78	4479	56
79	4534	0
