iter	Logloss
0	0.3058210543
1	0.2356350622
2	0.2033325928
3	0.1926566697
4	0.1878333475
5	0.1843285067
6	0.1832200343
7	0.1810414918
8	0.1796186619
9	0.178049195
10	0.1763986291
11	0.1756142335
12	0.1727131983
13	0.1724523286
14	0.1721497747
15	0.1717451774
16	0.1713041414
17	0.1704784324
18	0.1698923853
19	0.1696803276
20	0.1690126772
21	0.1689992316
22	0.1682440843
23	0.1675144095
24	0.1671866782
25	0.1666984197
26	0.1656814628
27	0.1647419017
28	0.1641111079
29	0.1639792012
30	0.1635516073
31	0.1630164893
32	0.1628926693
33	0.1626441229
34	0.1615620622
35	0.1613060015
36	0.1604401834
37	0.1596072922
38	0.1591353423
39	0.1586145679
40	0.1575422089
41	0.157542199
42	0.1573695277
43	0.1572144467
44	0.1569938292
45	0.1566200752
46	0.1562540802
47	0.1559409476
48	0.1554488383
49	0.1548352802
50	0.154825793
51	0.1542587205
52	0.1537631222
53	0.1529420817
54	0.1527048919
55	0.1527048421
56	0.1519831204
57	0.1515314558
58	0.1512804739
59	0.1510341282
60	0.1507686098
61	0.1505694969
62	0.1497197197
63	0.1489873901
64	0.148987341
65	0.1486345755
66	0.1484571869
67	0.1480223924
68	0.1480157499
69	0.1475715144
70	0.1470865663
71	0.1463319484
72	0.145522511
73	0.1453948722
74	0.1451590665
75	0.1447848543
76	0.1445650779
77	0.1437381533
78	0.1433274459
79	0.1429701289
